ID_Juego,Titulo,Plataforma,Genero,Publisher,Fecha_Lanzamiento,Ventas_NA_Millones,Ventas_EU_Millones,Ventas_JP_Millones,Ventas_Otros_Millones,Puntuacion_Critica,Puntuacion_Usuarios,Ventas_Globales_Millones,Anio_Lanzamiento,Mes_Lanzamiento,Trimestre
GME-00028,Ancient Hunters,Xbox One,Simulacion,Nintendo,2022-08-23,1.19,0.35,0.13,0.72,73,8.0,2.38,2022,8,3
GME-00029,Inferno Empire,PS4,Deportes,Nintendo,2022-12-07,0.79,0.65,1.71,0.72,74,7.8,3.87,2022,12,4
GME-00030,Turbo Zero,PC,Simulacion,Square Enix,2022-01-21,1.62,0.11,0.09,0.72,74,7.5,2.55,2022,1,1
GME-00031,Shadow Quest,PC,Puzzle,Microsoft,2021-05-09,0.01,0.22,0.42,0.38,74,7.1,1.03,2021,5,2
GME-00032,Dark Wars,Xbox Series X,Aventura,Take-Two,2020-03-27,1.39,0.24,0.15,0.31,52,5.5,2.09,2020,3,1
GME-00033,Neon Legends,PS4,RPG,Nintendo,2021-07-08,1.94,1.22,0.15,0.17,84,8.7,3.47,2021,7,3
GME-00034,Cyber Chronicles,Nintendo Switch,Shooter,Square Enix,2022-04-21,7.89,0.73,2.25,0.24,57,5.3,11.12,2022,4,2
GME-00035,Iron Rising,Xbox One,Shooter,Tencent,2020-07-23,2.33,1.22,0.11,0.39,70,7.7,4.05,2020,7,3
GME-00036,Star Odyssey,Xbox Series X,RPG,Tencent,2023-07-16,3.26,2.85,0.95,0.11,54,5.6,7.16,2023,7,3
GME-00037,Blood Arena,Nintendo Switch,Estrategia,Take-Two,2023-11-16,6.57,3.04,0.48,0.16,70,7.0,10.25,2023,11,4
GME-00038,Crystal Frontier,Nintendo Switch,RPG,Nintendo,2019-01-14,0.25,0.88,3.11,0.32,63,6.8,4.57,2019,1,1
GME-00039,Phantom Tactics,Nintendo Switch,Puzzle,Sony,2023-04-04,1.16,4.48,0.15,0.18,57,5.8,5.98,2023,4,2
GME-00040,Storm Horizon,PS5,Estrategia,Microsoft,2023-07-09,1.93,1.57,0.24,0.11,75,7.8,3.85,2023,7,3
GME-00041,Solar Saga,Xbox One,Shooter,Activision,2019-11-23,7.26,5.86,0.4,0.23,78,8.0,13.75,2019,11,4
GME-00042,Frozen Legacy,PS5,Puzzle,Desconocido,2022-11-30,2.45,2.57,1.24,0.14,79,8.4,6.39,2022,11,4
GME-00043,Golden Fury,Xbox One,Shooter,Ubisoft,2021-05-15,1.95,0.05,0.26,0.2,58,5.7,2.46,2021,5,2
GME-00044,Lost Reborn,PS4,RPG,Take-Two,2020-11-27,0.06,0.06,0.99,0.15,80,7.2,1.27,2020,11,4
GME-00045,Final Evolution,Nintendo Switch,Simulacion,Tencent,2020-07-23,2.23,0.3,1.24,0.03,71,6.6,3.79,2020,7,3
GME-00046,Hyper Worlds,PS5,Estrategia,Activision,2019-11-15,1.41,1.48,0.65,1.13,71,6.7,4.67,2019,11,4
GME-00047,Mega Strike,PS4,RPG,Desconocido,2020-03-16,1.35,0.21,0.16,0.01,40,4.1,1.74,2020,3,1
GME-00048,Ultra Assault,Mobile,RPG,Activision,2023-04-13,0.87,0.25,0.09,0.1,78,8.2,1.32,2023,4,2
GME-00049,Chrono Dominion,Mobile,Simulacion,Nintendo,2020-11-20,2.68,0.65,5.34,0.55,96,9.9,9.22,2020,11,4
GME-00050,Eternal Vanguard,PC,Puzzle,Microsoft,2019-07-29,1.19,0.5,0.32,0.62,100,10.0,2.62,2019,7,3
GME-00051,Mystic Blade,PC,Shooter,Activision,2019-07-09,1.9,0.2,0.37,0.21,77,8.1,2.68,2019,7,3
GME-00052,Savage Force,Xbox Series X,Accion,Sony,2021-02-17,0.72,1.09,0.48,0.01,66,6.0,2.3,2021,2,1
GME-00053,Grand Protocol,PS4,Accion,Microsoft,2019-07-18,1.37,3.05,0.7,0.07,92,8.4,5.2,2019,7,3
GME-00054,Epic Drift,Nintendo Switch,Puzzle,Square Enix,2021-01-05,0.04,1.1,3.67,0.27,73,7.0,5.08,2021,1,1
GME-00055,Wild Reign,PS4,Puzzle,Nintendo,2023-10-02,1.48,1.52,4.75,0.2,94,8.8,7.95,2023,10,4
GME-00056,Rogue Nexus,Xbox Series X,Puzzle,Sony,2020-12-05,0.14,0.59,0.99,0.01,74,7.1,1.72,2020,12,4
GME-00057,Silent Forge,Nintendo Switch,Puzzle,Take-Two,2022-05-21,0.16,1.25,1.08,0.55,61,6.5,3.05,2022,5,2
GME-00058,Ancient Hunters,PS5,Deportes,Nintendo,2020-06-25,0.58,0.28,2.04,0.58,82,8.5,3.48,2020,6,2
GME-00059,Inferno Empire,PS4,Deportes,Microsoft,2023-07-11,0.69,1.79,0.21,0.8,70,7.0,3.49,2023,7,3
GME-00060,Turbo Zero,PS5,RPG,Activision,2019-03-30,1.99,1.61,0.05,0.67,67,7.2,4.31,2019,3,1
GME-00061,Shadow Quest,PS5,Accion,Ubisoft,2023-02-03,0.74,3.47,0.32,0.0,90,9.0,4.53,2023,2,1
GME-00062,Dark Wars,Xbox Series X,Aventura,Nintendo,2021-07-29,4.83,1.09,1.34,0.19,75,7.4,7.45,2021,7,3
GME-00063,Neon Legends,PC,Accion,EA,2022-01-03,1.31,1.31,0.62,0.37,55,4.9,3.61,2022,1,1
GME-00064,Cyber Chronicles,PS5,RPG,Take-Two,2019-09-13,0.09,0.95,0.29,0.65,70,6.5,1.99,2019,9,3
GME-00065,Iron Rising,Xbox Series X,RPG,Microsoft,2021-02-14,0.19,1.42,0.4,0.03,58,5.6,2.03,2021,2,1
GME-00066,Star Odyssey,Nintendo Switch,Accion,Ubisoft,2019-06-11,0.12,2.18,1.61,0.03,74,7.1,3.94,2019,6,2
GME-00067,Blood Arena,PS5,Estrategia,Microsoft,2022-02-04,1.73,2.44,1.47,0.29,48,4.1,5.93,2022,2,1
GME-00068,Crystal Frontier,PC,Shooter,Take-Two,2020-08-23,3.43,1.24,0.23,0.6,59,5.8,5.51,2020,8,3
GME-00069,Phantom Tactics,Mobile,Shooter,Take-Two,2023-08-26,0.03,1.13,0.03,0.04,70,6.5,1.23,2023,8,3
GME-00070,Storm Horizon,PC,RPG,Square Enix,2022-07-11,2.2,1.12,1.75,0.15,75,7.1,5.22,2022,7,3
GME-00071,Solar Saga,PS5,Estrategia,Microsoft,2022-06-20,0.44,4.55,0.01,1.21,80,7.8,6.2,2022,6,2
GME-00072,Frozen Legacy,PS4,Deportes,Take-Two,2023-10-31,0.14,1.22,1.83,0.23,73,7.3,3.42,2023,10,4
GME-00073,Golden Fury,Xbox One,Accion,Sony,2021-01-10,1.19,1.55,0.58,0.91,92,9.7,4.23,2021,1,1
GME-00074,Lost Reborn,PS5,Shooter,Tencent,2022-03-28,1.29,0.55,0.46,0.19,100,9.9,2.49,2022,3,1
GME-00075,Final Evolution,Nintendo Switch,Simulacion,Microsoft,2020-01-29,4.6,4.3,1.25,0.19,59,5.9,10.35,2020,1,1
GME-00076,Hyper Worlds,PS4,Aventura,Ubisoft,2022-12-13,2.5,0.31,1.46,0.62,84,8.1,4.89,2022,12,4
GME-00077,Mega Strike,PS4,RPG,Ubisoft,2019-05-23,2.9,1.73,0.02,0.01,50,5.9,4.66,2019,5,2
GME-00078,Ultra Assault,PS4,Puzzle,Desconocido,2019-04-04,8.2,0.25,0.56,0.18,88,8.5,9.19,2019,4,2
GME-00079,Chrono Dominion,Nintendo Switch,Deportes,Activision,2022-09-16,0.78,0.37,0.07,0.59,68,7.4,1.81,2022,9,3
GME-00080,Eternal Vanguard,Xbox One,Deportes,Microsoft,2020-04-11,2.2,3.48,0.95,0.09,70,7.0,6.71,2020,4,2
GME-00081,Mystic Blade,PS5,Accion,EA,2023-05-03,3.56,0.86,0.1,0.26,54,5.3,4.78,2023,5,2
GME-00082,Savage Force,Nintendo Switch,Deportes,EA,2020-08-15,0.12,0.9,0.62,0.3,47,5.3,1.93,2020,8,3
GME-00083,Grand Protocol,Mobile,Simulacion,Take-Two,2019-06-13,1.51,1.24,1.31,0.19,88,8.8,4.25,2019,6,2
GME-00084,Epic Drift,PS5,Estrategia,Ubisoft,2023-10-18,2.49,0.39,0.08,0.01,80,8.7,2.98,2023,10,4
GME-00085,Wild Reign,PS4,Accion,Sony,2020-04-21,0.92,0.85,1.44,0.16,86,7.7,3.36,2020,4,2
GME-00086,Rogue Nexus,Xbox One,Aventura,Sony,2023-11-10,1.2,1.85,1.31,1.18,93,9.3,5.55,2023,11,4
GME-00087,Silent Forge,PC,Aventura,EA,2019-07-26,0.59,2.98,0.22,0.08,44,4.4,3.86,2019,7,3
GME-00088,Ancient Hunters,PC,Estrategia,Tencent,2021-02-17,0.09,0.12,0.05,0.04,50,5.4,0.29,2021,2,1
GME-00089,Inferno Empire,Mobile,Shooter,Nintendo,2020-07-23,0.58,0.82,3.06,0.21,75,7.1,4.68,2020,7,3
GME-00090,Turbo Zero,Xbox One,Estrategia,Ubisoft,2021-07-17,0.25,0.04,0.07,0.08,55,5.8,0.44,2021,7,3
GME-00091,Shadow Quest,Nintendo Switch,RPG,Nintendo,2022-07-25,0.34,0.53,0.85,0.34,68,6.3,2.07,2022,7,3
GME-00092,Dark Wars,Xbox Series X,Estrategia,Ubisoft,2023-09-05,2.64,2.59,0.03,0.08,60,6.1,5.33,2023,9,3
GME-00093,Neon Legends,Xbox One,Puzzle,Square Enix,2021-01-17,0.35,0.32,0.26,0.22,79,8.3,1.15,2021,1,1
GME-00094,Cyber Chronicles,Mobile,RPG,Nintendo,2019-11-30,0.75,1.34,0.03,0.06,47,5.4,2.18,2019,11,4
GME-00095,Iron Rising,Nintendo Switch,Puzzle,Activision,2021-01-28,1.21,1.02,0.16,0.2,79,8.0,2.59,2021,1,1
GME-00096,Star Odyssey,Mobile,Estrategia,Tencent,2020-12-28,0.37,0.45,0.01,0.08,46,4.7,0.9,2020,12,4
GME-00097,Blood Arena,Nintendo Switch,Accion,Take-Two,2020-03-05,0.16,2.29,0.97,0.29,60,5.5,3.71,2020,3,1
GME-00098,Crystal Frontier,Mobile,Aventura,Tencent,2022-10-04,0.16,1.11,0.44,0.41,70,7.7,2.12,2022,10,4
GME-00099,Phantom Tactics,PS4,Accion,Ubisoft,2020-06-30,0.39,0.42,0.4,0.2,54,5.3,1.41,2020,6,2
GME-00100,Storm Horizon,Xbox Series X,Estrategia,Ubisoft,2022-12-08,0.14,0.17,0.1,0.04,49,5.2,0.44,2022,12,4
GME-00101,Solar Saga,PS5,Aventura,Activision,2022-10-31,0.3,2.85,0.04,0.19,61,5.7,3.39,2022,10,4
GME-00102,Frozen Legacy,Mobile,Estrategia,Nintendo,2022-08-20,0.19,0.64,4.61,0.64,74,7.4,6.08,2022,8,3
GME-00103,Golden Fury,Nintendo Switch,RPG,Tencent,2019-05-27,0.25,1.16,2.9,0.21,70,7.0,4.53,2019,5,2
GME-00104,Lost Reborn,PS4,RPG,Take-Two,2022-06-01,1.41,0.16,0.13,0.11,45,4.8,1.81,2022,6,2
GME-00105,Final Evolution,PS4,Aventura,EA,2022-07-24,0.12,0.74,0.11,0.17,46,4.6,1.14,2022,7,3
GME-00106,Hyper Worlds,Xbox One,Accion,Ubisoft,2019-12-17,1.35,0.08,0.2,0.04,69,6.3,1.67,2019,12,4
GME-00107,Mega Strike,PC,Shooter,Take-Two,2021-12-29,1.16,3.0,0.87,0.33,85,8.2,5.36,2021,12,4
GME-00108,Ultra Assault,Nintendo Switch,Estrategia,Sony,2023-02-02,0.3,1.5,1.04,0.47,33,2.9,3.32,2023,2,1
GME-00109,Chrono Dominion,Nintendo Switch,Deportes,Microsoft,2020-05-16,4.51,0.26,0.09,0.44,76,7.3,5.3,2020,5,2
GME-00110,Eternal Vanguard,PS4,RPG,Microsoft,2019-12-01,0.34,2.86,0.14,0.07,88,8.9,3.4,2019,12,4
GME-00111,Mystic Blade,PS5,Accion,Ubisoft,2021-08-04,1.78,0.96,0.24,0.68,76,7.4,3.67,2021,8,3
GME-00112,Savage Force,Mobile,Shooter,Sony,2021-02-16,1.96,1.07,0.39,0.14,88,8.6,3.56,2021,2,1
GME-00113,Grand Protocol,Nintendo Switch,Accion,Tencent,2020-07-06,0.4,2.77,0.61,0.24,70,7.9,4.01,2020,7,3
GME-00114,Epic Drift,Mobile,RPG,Square Enix,2022-08-03,0.2,3.54,0.52,0.13,74,7.7,4.39,2022,8,3
GME-00115,Wild Reign,Xbox Series X,Puzzle,Ubisoft,2022-11-10,1.87,1.18,1.2,0.5,75,7.3,4.75,2022,11,4
GME-00116,Rogue Nexus,Xbox One,Aventura,Tencent,2022-02-14,0.39,1.47,0.02,0.23,63,5.9,2.1,2022,2,1
GME-00117,Silent Forge,Mobile,RPG,Ubisoft,2020-03-25,0.69,2.28,0.06,0.62,77,7.9,3.66,2020,3,1
GME-00118,Ancient Hunters,Mobile,RPG,EA,2022-11-03,2.71,0.22,0.12,0.36,66,6.1,3.41,2022,11,4
GME-00119,Inferno Empire,Xbox Series X,Puzzle,Nintendo,2020-10-26,2.53,1.34,0.43,0.15,83,9.0,4.45,2020,10,4
GME-00120,Turbo Zero,Nintendo Switch,Shooter,Tencent,2023-09-23,1.04,3.28,0.13,0.16,43,5.1,4.61,2023,9,3
GME-00121,Shadow Quest,PS5,Accion,Microsoft,2023-04-23,0.04,3.76,2.05,0.38,100,10.0,6.23,2023,4,2
GME-00122,Dark Wars,Xbox One,Estrategia,EA,2023-05-09,2.03,0.22,0.47,0.31,77,7.8,3.03,2023,5,2
GME-00123,Neon Legends,Nintendo Switch,Shooter,Nintendo,2019-04-25,9.86,6.27,1.0,0.05,94,9.1,17.19,2019,4,2
GME-00124,Cyber Chronicles,PS4,Accion,Microsoft,2020-04-14,1.36,0.62,0.03,0.12,71,7.6,2.13,2020,4,2
GME-00125,Iron Rising,PS4,Deportes,Microsoft,2023-08-11,0.91,2.37,0.17,0.1,55,4.7,3.54,2023,8,3
GME-00126,Star Odyssey,PC,Deportes,Sony,2019-03-07,0.35,0.67,0.07,0.05,65,7.3,1.15,2019,3,1
GME-00127,Blood Arena,PC,Estrategia,Microsoft,2023-07-07,1.56,0.23,0.18,0.13,30,2.9,2.1,2023,7,3
GME-00128,Crystal Frontier,Mobile,Shooter,Square Enix,2020-10-08,0.27,11.74,0.33,0.26,66,6.0,12.6,2020,10,4
GME-00129,Phantom Tactics,PC,RPG,Activision,2021-04-01,0.35,2.75,0.12,0.06,70,7.0,3.28,2021,4,2
GME-00130,Storm Horizon,PC,Accion,EA,2020-07-02,1.24,0.08,0.74,0.18,70,6.7,2.24,2020,7,3
GME-00131,Solar Saga,PS4,Shooter,Tencent,2019-05-16,0.6,0.64,0.04,0.03,30,3.6,1.3,2019,5,2
GME-00132,Frozen Legacy,Xbox Series X,Estrategia,Tencent,2020-03-08,1.08,0.44,0.01,0.04,49,4.5,1.57,2020,3,1
GME-00133,Golden Fury,PS4,Aventura,Ubisoft,2022-03-07,0.05,0.36,0.16,0.4,84,9.0,0.97,2022,3,1
GME-00134,Lost Reborn,Xbox Series X,Deportes,Microsoft,2023-11-30,1.69,0.35,0.05,0.07,62,6.5,2.16,2023,11,4
GME-00135,Final Evolution,Xbox Series X,Aventura,EA,2023-01-10,3.07,0.7,0.64,0.08,81,8.3,4.48,2023,1,1
GME-00136,Hyper Worlds,PS4,Puzzle,Ubisoft,2020-10-06,0.03,0.15,0.13,0.01,79,7.7,0.31,2020,10,4
GME-00137,Mega Strike,PS5,Accion,Activision,2020-03-11,0.88,2.87,0.91,0.13,75,6.9,4.79,2020,3,1
GME-00138,Ultra Assault,Nintendo Switch,Shooter,Nintendo,2022-09-04,2.05,0.48,1.04,0.13,59,5.2,3.7,2022,9,3
GME-00139,Chrono Dominion,Nintendo Switch,Shooter,Nintendo,2021-10-19,0.63,3.55,1.0,0.03,39,4.7,5.2,2021,10,4
GME-00140,Eternal Vanguard,Nintendo Switch,RPG,Take-Two,2021-03-21,3.35,1.91,0.69,0.01,69,7.5,5.96,2021,3,1
GME-00141,Mystic Blade,Xbox One,Estrategia,Square Enix,2022-08-09,1.6,0.38,0.08,0.58,75,6.6,2.64,2022,8,3
GME-00142,Savage Force,PC,Deportes,Ubisoft,2021-07-28,0.28,0.38,0.01,0.74,70,7.2,1.42,2021,7,3
GME-00143,Grand Protocol,Xbox One,Shooter,Tencent,2019-10-20,1.08,1.82,0.55,0.55,73,6.8,4.0,2019,10,4
GME-00144,Epic Drift,Mobile,RPG,Square Enix,2020-06-26,1.45,1.38,0.1,0.78,74,7.9,3.72,2020,6,2
GME-00145,Wild Reign,PS5,Shooter,Square Enix,2019-10-13,1.44,0.06,0.06,0.24,70,7.0,1.8,2019,10,4
GME-00146,Rogue Nexus,Nintendo Switch,Puzzle,Microsoft,2020-05-20,0.44,0.62,0.44,0.14,73,6.9,1.63,2020,5,2
GME-00147,Silent Forge,Nintendo Switch,Deportes,Sony,2023-03-06,0.99,0.61,1.08,0.66,55,6.1,3.34,2023,3,1
GME-00148,Ancient Hunters,Xbox Series X,Estrategia,Microsoft,2022-02-23,0.04,0.3,0.37,0.01,57,6.1,0.72,2022,2,1
GME-00149,Inferno Empire,Nintendo Switch,Estrategia,Activision,2022-01-08,0.95,2.74,0.22,0.04,100,10.0,3.94,2022,1,1
GME-00150,Turbo Zero,Mobile,Puzzle,Ubisoft,2020-06-22,1.74,0.68,0.14,0.51,69,7.8,3.07,2020,6,2
GME-00151,Shadow Quest,Nintendo Switch,Shooter,Nintendo,2023-03-10,0.97,1.82,0.64,0.03,79,8.4,3.47,2023,3,1
GME-00152,Dark Wars,Nintendo Switch,Estrategia,EA,2022-04-12,0.3,0.92,2.54,0.39,69,7.2,4.15,2022,4,2
GME-00153,Neon Legends,Nintendo Switch,RPG,Square Enix,2021-05-27,1.98,2.54,0.4,0.23,78,8.4,5.15,2021,5,2
GME-00154,Cyber Chronicles,PC,RPG,Ubisoft,2022-04-10,0.33,1.1,1.35,0.01,76,7.7,2.79,2022,4,2
GME-00155,Iron Rising,PS4,Simulacion,EA,2021-03-28,2.98,3.27,1.11,0.15,54,5.9,7.5,2021,3,1
GME-00156,Star Odyssey,Mobile,Estrategia,EA,2021-01-11,0.58,2.13,0.02,0.27,70,7.1,3.0,2021,1,1
GME-00157,Blood Arena,PS4,Aventura,EA,2020-03-25,0.11,1.3,0.19,0.35,63,6.2,1.95,2020,3,1
GME-00158,Crystal Frontier,PS4,Simulacion,Square Enix,2019-10-11,1.34,2.16,0.18,0.28,67,6.5,3.97,2019,10,4
GME-00159,Phantom Tactics,PS4,Deportes,Take-Two,2021-11-09,0.5,0.04,1.08,0.01,74,7.8,1.63,2021,11,4
GME-00160,Storm Horizon,PS4,RPG,Sony,2021-10-07,5.13,2.35,3.15,0.13,71,7.7,10.75,2021,10,4
GME-00161,Solar Saga,Nintendo Switch,Shooter,Take-Two,2019-07-06,1.57,1.58,2.3,1.1,70,7.0,6.55,2019,7,3
GME-00162,Frozen Legacy,PC,Simulacion,Sony,2023-03-28,0.74,1.45,0.12,0.03,63,7.1,2.35,2023,3,1
GME-00163,Golden Fury,Mobile,Estrategia,Take-Two,2019-04-07,0.38,0.23,0.02,0.0,50,4.5,0.62,2019,4,2
GME-00164,Lost Reborn,PS4,RPG,Sony,2023-10-30,0.87,1.63,0.12,0.89,69,7.1,3.51,2023,10,4
GME-00165,Final Evolution,Xbox One,Puzzle,EA,2019-08-13,5.26,0.92,0.58,0.07,85,8.4,6.82,2019,8,3
GME-00166,Hyper Worlds,PS5,Estrategia,Square Enix,2019-11-10,1.74,1.07,0.14,0.06,72,7.5,3.01,2019,11,4
GME-00167,Mega Strike,PS4,Puzzle,EA,2022-07-09,1.97,0.45,0.03,0.9,61,5.8,3.34,2022,7,3
GME-00168,Ultra Assault,Xbox Series X,Simulacion,Microsoft,2019-11-24,2.8,0.31,1.1,0.1,91,8.8,4.31,2019,11,4
GME-00169,Chrono Dominion,PS5,Simulacion,EA,2023-06-11,1.41,1.09,0.05,0.66,73,6.5,3.2,2023,6,2
GME-00170,Eternal Vanguard,PC,Accion,Square Enix,2022-10-25,3.43,3.9,0.86,0.43,61,5.9,8.62,2022,10,4
GME-00171,Mystic Blade,PS5,RPG,Sony,2021-05-14,0.16,0.72,0.27,0.1,80,9.0,1.24,2021,5,2
GME-00172,Savage Force,PS4,RPG,Nintendo,2022-05-06,0.13,0.3,1.43,0.02,70,7.8,1.87,2022,5,2
GME-00173,Grand Protocol,Xbox One,Puzzle,Activision,2019-05-11,0.98,1.07,0.87,0.13,70,7.6,3.05,2019,5,2
GME-00174,Epic Drift,PS4,Simulacion,Microsoft,2021-02-27,0.53,2.9,0.91,0.37,80,8.9,4.72,2021,2,1
GME-00175,Wild Reign,PS4,Deportes,Square Enix,2021-02-20,2.11,1.61,0.57,0.49,82,8.5,4.78,2021,2,1
GME-00176,Rogue Nexus,Xbox Series X,Aventura,Ubisoft,2022-05-05,0.59,1.57,0.08,0.49,67,6.8,2.74,2022,5,2
GME-00177,Silent Forge,PS4,Simulacion,Microsoft,2021-08-16,0.01,0.41,0.48,1.2,70,7.7,2.1,2021,8,3
GME-00178,Ancient Hunters,Xbox One,Shooter,Ubisoft,2021-12-19,2.31,1.19,0.54,0.02,50,5.3,4.06,2021,12,4
GME-00179,Inferno Empire,PS4,Simulacion,Nintendo,2020-05-29,5.21,0.53,1.32,0.85,74,8.2,7.91,2020,5,2
GME-00180,Turbo Zero,Mobile,Aventura,Activision,2022-02-07,0.49,1.34,0.03,0.24,63,6.4,2.09,2022,2,1
GME-00181,Shadow Quest,PS5,Accion,Ubisoft,2023-10-29,0.11,3.71,2.28,1.31,88,8.0,7.41,2023,10,4
GME-00182,Dark Wars,PS5,Estrategia,Tencent,2019-01-24,1.87,0.03,0.01,0.1,62,6.4,2.01,2019,1,1
GME-00183,Neon Legends,PS5,Accion,Microsoft,2022-10-25,2.76,1.14,0.21,2.34,93,9.3,6.46,2022,10,4
GME-00184,Cyber Chronicles,Xbox Series X,Simulacion,Take-Two,2023-01-16,0.18,1.31,0.41,0.05,48,3.7,1.96,2023,1,1
GME-00185,Iron Rising,Xbox One,Simulacion,Ubisoft,2019-08-23,1.68,0.4,1.59,0.05,74,7.1,3.72,2019,8,3
GME-00186,Star Odyssey,Nintendo Switch,Simulacion,Take-Two,2022-10-28,1.12,1.67,0.72,0.11,80,7.9,3.62,2022,10,4
GME-00187,Blood Arena,PS4,RPG,Sony,2022-01-04,3.33,0.31,0.12,0.01,69,7.1,3.77,2022,1,1
GME-00188,Crystal Frontier,Nintendo Switch,Deportes,Activision,2023-03-18,2.19,0.56,3.15,0.05,51,5.8,5.96,2023,3,1
GME-00189,Phantom Tactics,PS4,Estrategia,Take-Two,2020-06-30,2.37,2.4,0.77,0.32,75,7.7,5.86,2020,6,2
GME-00190,Storm Horizon,Mobile,RPG,Take-Two,2023-04-24,2.49,0.82,0.07,0.04,73,7.6,3.42,2023,4,2
GME-00191,Solar Saga,PC,RPG,Activision,2022-08-05,0.29,0.69,0.03,0.22,60,6.9,1.23,2022,8,3
GME-00192,Frozen Legacy,PS5,Accion,EA,2020-11-27,0.79,1.03,0.01,0.03,83,7.9,1.86,2020,11,4
GME-00193,Golden Fury,Xbox Series X,Simulacion,Square Enix,2019-08-17,1.24,0.37,0.54,0.53,70,7.0,2.68,2019,8,3
GME-00194,Lost Reborn,Xbox Series X,RPG,Desconocido,2020-08-24,0.33,4.11,0.06,0.16,55,5.5,4.66,2020,8,3
GME-00195,Final Evolution,Xbox One,Puzzle,Take-Two,2021-06-09,1.63,0.02,0.26,0.29,93,9.7,2.19,2021,6,2
